"State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"240835,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,00:00,1980-01-01,08:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240836,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,01:00,1980-01-01,09:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240837,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,02:00,1980-01-01,10:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240838,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,03:00,1980-01-01,11:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240839,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,04:00,1980-01-01,12:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240840,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,05:00,1980-01-01,13:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240841,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,06:00,1980-01-01,14:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240842,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,07:00,1980-01-01,15:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240843,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,08:00,1980-01-01,16:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240844,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,09:00,1980-01-01,17:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240845,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,10:00,1980-01-01,18:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240846,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,11:00,1980-01-01,19:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240847,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,12:00,1980-01-01,20:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240848,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,13:00,1980-01-01,21:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240849,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,14:00,1980-01-01,22:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240850,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,15:00,1980-01-01,23:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240851,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,16:00,1980-01-02,00:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240852,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,17:00,1980-01-02,01:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240853,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,18:00,1980-01-02,02:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240854,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,19:00,1980-01-02,03:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240855,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,20:00,1980-01-02,04:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240856,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,21:00,1980-01-02,05:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240857,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,22:00,1980-01-02,06:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240858,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-01,23:00,1980-01-02,07:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240859,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,00:00,1980-01-02,08:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240860,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,01:00,1980-01-02,09:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240861,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,02:00,1980-01-02,10:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240862,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,03:00,1980-01-02,11:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240863,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,04:00,1980-01-02,12:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
