",State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"117687,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,00:00,2022-01-01,08:00,1.188,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117688,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,01:00,2022-01-01,09:00,1.361,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117689,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,02:00,2022-01-01,10:00,1.574,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117690,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,03:00,2022-01-01,11:00,1.525,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117691,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,04:00,2022-01-01,12:00,0.9,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117692,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,05:00,2022-01-01,13:00,0.676,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117693,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,06:00,2022-01-01,14:00,0.724,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117694,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,07:00,2022-01-01,15:00,0.758,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117695,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,08:00,2022-01-01,16:00,0.569,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117696,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,09:00,2022-01-01,17:00,0.538,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117697,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,10:00,2022-01-01,18:00,0.389,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117698,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,11:00,2022-01-01,19:00,0.254,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117699,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,12:00,2022-01-01,20:00,0.184,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117700,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,13:00,2022-01-01,21:00,0.178,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117701,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,14:00,2022-01-01,22:00,0.174,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117702,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,15:00,2022-01-01,23:00,0.185,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117703,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,16:00,2022-01-02,00:00,0.212,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
